Depth,Vp,Vs,Density,Qkappa,Qmu,nNodes
0.0,4.8687,2.9066,2.287,57823.0,536.8421052631579,5.0
50.379,6.6463,3.9679,3.122,1000.0,2000.0,5.0
50.379,8.0288,4.613,3.443,57823.0,232.2,5.0
1549.732,9.5073,5.0313,3.9485,1327.7000000000003,84.6,5.0
1549.732,4.9105,0.0,5.8773,55730.58148148148,14.68888888888889,5.0
3389.0,5.5448,0.0,6.5492,1327.7000000000003,84.6,5.0
3389.0,8.0,5.0,7.0,1327.7000000000003,84.6,5.0
3389.5,8.0,5.0,7.0,1327.7000000000003,84.6,5.0
